Comment,Designator,Footprint,LCSC Part #
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
D_Small,"D1,D2,D3,D4,D11,D12,D13,D14,D21,D22,D23,D24,D31,D32,D33,D34",D_SOD-323,C437156
0.1uF,"C4,C5,C6",C_0402_1005Metric,C129131
22pF,"C1,C2",C_0402_1005Metric,C106203
10uF,C7,C_0402_1005Metric,C15525
1uF,C3,C_0402_1005Metric,C14445
22R,"R4,R5",R_0402_1005Metric,C114765
10k,"R1,R6",R_0402_1005Metric,C144807
5k1,"R2,R3",R_0402_1005Metric,C105873
500mA,F1,Fuse_1206_3216Metric,C163512
SW_Push,B1,SW_SPST_SKQG_WithoutStem,C127478
